row.number,subject,trial,color,FID,AD
1161,5,57,2,50,41
1162,5,58,3,0,28
1163,5,59,1,78,65
1164,5,60,3,31,14
1165,5,61,3,41,20
1166,5,62,1,65,71
1167,5,63,2,51,41
1168,5,64,3,34,20
1169,5,65,4,18,69
1170,5,66,4,49,44
1171,5,67,4,32,28
1172,5,68,4,51,33
1173,5,69,1,74,63
1174,5,70,3,44,22
1175,5,71,2,57,39
1176,5,72,1,68,57
1177,5,73,3,38,15
1178,5,74,1,74,63
1179,5,75,2,47,33
1180,5,76,1,71,52
1181,5,77,2,48,42
1182,5,78,3,37,9
1183,5,79,2,45,30
1184,5,80,3,36,9
1185,5,81,1,71,52
1186,5,82,1,55,69
1187,5,83,3,33,15
1188,5,84,2,48,33
1189,5,85,2,50,39
1190,5,86,3,37,15
1191,5,87,1,74,63
1192,5,88,2,40,39
1193,5,89,4,26,15
1194,5,90,4,68,57
1195,5,91,4,67,57
1196,5,92,4,0,22
1197,5,93,2,46,39
1198,5,94,2,47,39
1199,5,95,1,69,63
1200,5,96,3,44,22
1201,6,49,4,21,35
1202,6,50,4,51,65
1203,6,51,4,33,7
1204,6,52,4,6,42
1205,6,53,1,74,69
1206,6,54,3,40,14
1207,6,55,2,40,46
1208,6,56,1,75,65
1209,6,57,2,60,41
1210,6,58,3,40,28
1211,6,59,1,71,65
1212,6,60,3,33,14
1213,6,61,3,43,20
1214,6,62,1,72,71
1215,6,63,2,50,41
1216,6,64,3,41,20
1217,6,65,4,48,69
1218,6,66,4,45,44
1219,6,67,4,37,28
1220,6,68,4,61,33
1221,6,69,1,76,63
1222,6,70,3,53,22
1223,6,71,2,50,39
1224,6,72,1,72,57
1225,6,73,3,24,15
1226,6,74,1,71,63
1227,6,75,2,42,33
1228,6,76,1,75,52
1229,6,77,2,51,42
1230,6,78,3,59,9
1231,6,79,2,47,30
1232,6,80,3,38,9
1233,6,81,1,74,52
1234,6,82,1,55,69
1235,6,83,3,29,15
1236,6,84,2,46,33
1237,6,85,2,47,39
1238,6,86,3,28,15
1239,6,87,1,74,63
1240,6,88,2,45,39
1241,6,89,4,28,15
1242,6,90,4,69,57
1243,6,91,4,68,57
1244,6,92,4,34,22
1245,6,93,2,48,39
1246,6,94,2,49,39
1247,6,95,1,75,63
1248,6,96,3,44,22
1249,7,49,4,44,35
1250,7,50,4,44,65
1251,7,51,4,50,7
1252,7,52,4,28,42
1253,7,53,1,73,69
1254,7,54,3,50,14
1255,7,55,2,57,46
1256,7,56,1,74,65
1257,7,57,2,49,41
1258,7,58,3,46,28
1259,7,59,1,73,65
1260,7,60,3,48,14
1261,7,61,3,50,20
1262,7,62,1,57,71
1263,7,63,2,59,41
1264,7,64,3,47,20
1265,7,65,4,70,69
1266,7,66,4,64,44
1267,7,67,4,0,28
1268,7,68,4,76,33
1269,7,69,1,76,63
1270,7,70,3,45,22
1271,7,71,2,63,39
1272,7,72,1,75,57
1273,7,73,3,37,15
1274,7,74,1,75,63
1275,7,75,2,60,33
1276,7,76,1,73,52
1277,7,77,2,59,42
1278,7,78,3,48,9
1279,7,79,2,63,30
1280,7,80,3,50,9
1281,7,81,1,75,52
1282,7,82,1,55,69
1283,7,83,3,41,15
1284,7,84,2,62,33
1285,7,85,2,54,39
1286,7,86,3,38,15
1287,7,87,1,75,63
1288,7,88,2,52,39
1289,7,89,4,27,15
1290,7,90,4,70,57
1291,7,91,4,67,57
1292,7,92,4,39,22
1293,7,93,2,61,39
1294,7,94,2,64,39
1295,7,95,1,74,63
1296,7,96,3,44,22
1297,8,49,4,45,35
1298,8,50,4,66,65
1299,8,51,4,19,7
1300,8,52,4,28,42
1301,8,53,1,74,69
1302,8,54,3,37,14
1303,8,55,2,51,46
1304,8,56,1,76,65
1305,8,57,2,27,41
1306,8,58,3,34,28
1307,8,59,1,77,65
1308,8,60,3,47,14
1309,8,61,3,38,20
1310,8,62,1,57,71
1311,8,63,2,58,41
1312,8,64,3,34,20
1313,8,65,4,74,69
1314,8,66,4,49,44
1315,8,67,4,22,28
1316,8,68,4,53,33
1317,8,69,1,73,63
1318,8,70,3,43,22
1319,8,71,2,52,39
1320,8,72,1,76,57
1321,8,73,3,34,15
1322,8,74,1,70,63
1323,8,75,2,56,33
1324,8,76,1,69,52
1325,8,77,2,58,42
1326,8,78,3,40,9
1327,8,79,2,55,30
1328,8,80,3,44,9
1329,8,81,1,66,52
